iter	Passed	Remaining
198	5942	143362
199	5976	143429
200	6007	143442
201	6038	143419
202	6053	143048
203	6085	143078
204	6116	143061
205	6145	143026
206	6179	143090
207	6215	143187
208	6256	143419
209	6289	143465
210	6322	143507
211	6353	143504
212	6382	143447
213	6408	143328
214	6419	142875
215	6445	142753
216	6476	142744
217	6511	142838
218	6543	142855
219	6575	142875
220	6592	142560
221	6624	142570
222	6656	142595
223	6667	142162
224	6690	141981
225	6721	141985
226	6753	141999
227	6782	141959
228	6811	141907
229	6842	141909
230	6874	141931
231	6908	141983
232	6940	142004
233	6973	142032
234	7002	141995
235	7034	141998
236	7040	141495
237	7056	141195
238	7089	141223
239	7121	141247
240	7133	140867
241	7164	140870
242	7197	140893
243	7230	140932
244	7260	140906
245	7290	140898
246	7322	140900
247	7355	140931
248	7385	140917
249	7417	140924
250	7448	140928
251	7480	140943
252	7513	140967
253	7544	140976
254	7577	140994
255	7608	140999
256	7641	141024
257	7674	141050
258	7685	140679
259	7717	140700
260	7733	140415
261	7766	140449
262	7796	140434
263	7826	140403
264	7858	140412
265	7891	140437
266	7922	140434
267	7952	140413
268	7985	140436
269	8017	140459
270	8049	140466
271	8081	140482
272	8112	140466
273	8143	140458
274	8176	140484
275	8191	140212
276	8222	140195
277	8253	140199
278	8286	140217
279	8317	140211
280	8349	140226
281	8380	140201
282	8411	140195
283	8440	140164
284	8470	140136
285	8500	140115
286	8531	140099
287	8562	140097
288	8595	140120
289	8630	140173
290	8663	140199
291	8697	140230
292	8730	140246
293	8759	140215
294	8790	140200
295	8823	140214
296	8855	140230
297	8885	140205
298	8916	140185
299	8949	140211
300	8981	140211
301	9010	140171
302	9039	140134
303	9071	140126
304	9102	140118
305	9131	140074
306	9162	140065
307	9195	140086
308	9228	140098
309	9259	140092
310	9292	140102
311	9324	140100
312	9356	140112
313	9387	140098
314	9417	140073
315	9448	140046
316	9478	140027
317	9510	140023
318	9542	140019
319	9572	139995
320	9605	140019
321	9637	140015
322	9668	139999
323	9699	139989
324	9735	140048
325	9767	140038
326	9800	140048
327	9829	140016
328	9859	139974
329	9889	139958
330	9921	139946
331	9952	139940
332	9985	139953
333	10019	139966
334	10039	139799
335	10071	139803
336	10101	139767
337	10132	139753
338	10164	139750
339	10195	139740
340	10227	139742
341	10260	139750
342	10293	139756
343	10322	139717
344	10352	139678
345	10380	139623
346	10413	139637
347	10445	139627
348	10475	139607
349	10508	139617
350	10540	139605
351	10571	139587
352	10603	139594
353	10634	139575
354	10666	139568
355	10699	139578
356	10732	139583
357	10766	139604
358	10799	139609
359	10830	139592
360	10860	139556
361	10891	139543
362	10924	139548
363	10956	139541
364	10985	139505
365	11015	139474
366	11045	139438
367	11075	139403
368	11106	139382
369	11136	139355
370	11166	139327
371	11199	139327
372	11229	139303
373	11260	139283
374	11293	139284
375	11324	139266
376	11353	139223
377	11384	139204
378	11416	139194
379	11445	139155
380	11475	139120
381	11507	139114
382	11540	139115
383	11572	139105
384	11604	139108
385	11635	139082
386	11666	139067
387	11697	139040
388	11727	139015
389	11759	139003
390	11791	138998
391	11824	138992
392	11854	138971
393	11887	138966
394	11918	138952
395	11949	138931
396	11983	138945
397	12016	138944
398	12047	138919
399	12077	138895
400	12110	138893
401	12142	138887
